index,City mpg,Make,Model Year,Year,Horsepower,ID
0,18,Audi,2009 Audi A3,2009,250,
1,22,Audi,2009 Audi A3,2009,200,
2,21,Audi,2009 Audi A3,2009,200,
3,21,Audi,2009 Audi A3,2009,200,
4,21,Audi,2009 Audi A3,2009,200,
5,16,Audi,2009 Audi A5,2009,265,
6,17,Audi,2009 Audi A5,2009,265,
7,13,Audi,2009 Audi Q7,2009,350,
8,14,Audi,2009 Audi Q7,2009,280,
9,22,Audi,2009 Audi A4 Sedan,2009,211,
10,21,Audi,2009 Audi A4 Sedan,2009,211,
11,17,Audi,2009 Audi A4 Sedan,2009,265,
12,20,Acura,2012 Acura TL,2012,280,
13,18,Acura,2012 Acura TL,2012,305,
14,12,BMW,2010 BMW X5,2010,555,
15,12,BMW,2011 BMW X5,2011,555,
16,12,BMW,2010 BMW X6,2010,555,
17,12,BMW,2011 BMW X6,2011,555,
18,18,Chevrolet,2012 Chevrolet Colorado,2012,185,
19,18,Chevrolet,2012 Chevrolet Colorado,2012,185,
20,18,Chevrolet,2012 Chevrolet Colorado,2012,185,
21,18,Chevrolet,2011 Chevrolet Colorado,2011,185,
22,18,Chevrolet,2011 Chevrolet Colorado,2011,185,
23,18,Chevrolet,2011 Chevrolet Colorado,2011,185,
24,18,Chevrolet,2010 Chevrolet Colorado,2010,185,
25,20,Chevrolet,2010 Chevrolet Colorado,2010,185,
26,18,Chevrolet,2010 Chevrolet Colorado,2010,185,
27,13,Chevrolet,2012 Chevrolet Express,2012,310,
28,9,Chevrolet,2012 Chevrolet Express,2012,310,
29,13,Chevrolet,2011 Chevrolet Express,2011,310,
30,13,Chevrolet,2011 Chevrolet Express,2011,310,
31,8,Chevrolet,2011 Chevrolet Express,2011,280,
32,8,Chevrolet,2011 Chevrolet Express,2011,324,
33,10,Chevrolet,2010 Chevrolet Express,2010,310,
34,13,Chevrolet,2010 Chevrolet Express,2010,310,
35,15,Chevrolet,2011 Chevrolet Silverado 1500,2011,195,
36,14,Chevrolet,2011 Chevrolet Silverado 1500,2011,302,
37,15,Chevrolet,2011 Chevrolet Silverado 1500,2011,195,
38,15,Chevrolet,2010 Chevrolet Silverado 1500,2010,195,
39,15,Chevrolet,2010 Chevrolet Silverado 1500,2010,195,
40,14,Chevrolet,2010 Chevrolet Silverado 1500,2010,302,
41,18,Nissan,2011 Nissan 370Z Coupe,2011,350,
42,18,Nissan,2010 Nissan 370Z Coupe,2010,350,
43,18,Nissan,2009 Nissan 370Z Coupe,2009,350,
44,21,Volvo,2011 Volvo C30,2011,227,
45,21,Volvo,2011 Volvo C30,2011,227,
46,21,Volvo,2010 Volvo C30,2010,227,
47,21,Volvo,2010 Volvo C30,2010,227,
48,9,Bentley,2010 Bentley Brooklands,2010,530,
49,8,Bentley,2012 Bentley Continental Supersports Convertible,2012,621,
50,8,Bentley,2012 Bentley Continental Supersports Coupe,2012,621,
51,8,Bentley,2011 Bentley Continental Supersports Convertible,2011,621,
52,12,Bentley,2010 Bentley Continental Supersports,2010,621,
53,8,Bentley,2012 Bentley Continental Flying Spur,2012,552,
54,11,Bentley,2012 Bentley Continental Flying Spur,2012,600,
55,10,Bentley,2011 Bentley Continental Flying Spur,2011,600,
56,10,Bentley,2010 Bentley Continental Flying Spur,2010,600,
57,10,Bentley,2010 Bentley Continental Flying Spur,2010,552,
58,19,Volvo,2011 Volvo C70,2011,227,
59,20,Volvo,2010 Volvo C70,2010,227,
60,19,Volvo,2010 Volvo C70,2010,227,
61,21,Volvo,2010 Volvo S40,2010,168,
62,21,Volvo,2010 Volvo S40,2010,227,
63,21,Volvo,2011 Volvo S40,2011,227,
64,20,Volvo,2010 Volvo S40,2010,227,
65,20,Volvo,2012 Volvo S60,2012,250,
66,18,Volvo,2012 Volvo S60,2012,300,
67,18,Volvo,2012 Volvo S60,2012,325,
68,18,Volvo,2011 Volvo S60,2011,300,
69,19,Volvo,2011 Volvo S80,2011,240,
70,15,Volvo,2010 Volvo S80,2010,311,
71,16,Volvo,2010 Volvo S80,2010,281,
72,18,Volvo,2010 Volvo S80,2010,235,
73,21,Volvo,2011 Volvo V50,2011,227,
74,20,Volvo,2010 Volvo V50,2010,227,
75,20,Volvo,2010 Volvo V50,2010,168,
76,17,Volvo,2011 Volvo XC60,2011,300,
77,18,Volvo,2011 Volvo XC60,2011,240,
78,16,Volvo,2010 Volvo XC60,2010,281,
79,18,Volvo,2010 Volvo XC60,2010,235,
80,18,Volvo,2011 Volvo XC70,2011,240,
81,17,Volvo,2011 Volvo XC70,2011,300,
82,16,Volvo,2010 Volvo XC70,2010,281,
83,16,Volvo,2010 Volvo XC70,2010,235,
84,17,Toyota,2011 Toyota 4Runner,2011,270,
85,17,Toyota,2011 Toyota 4Runner,2011,270,
86,17,Toyota,2011 Toyota 4Runner,2011,270,
87,17,Toyota,2011 Toyota 4Runner,2011,270,
88,17,Toyota,2011 Toyota 4Runner,2011,270,
89,16,Volvo,2011 Volvo XC90,2011,240,
90,14,Volvo,2011 Volvo XC90,2011,311,
91,15,Volvo,2010 Volvo XC90,2010,235,
92,13,Volvo,2010 Volvo XC90,2010,311,
93,18,Volvo,2010 Volvo V70,2010,235,
94,18,Toyota,2010 Toyota 4Runner,2010,157,
95,17,Toyota,2010 Toyota 4Runner,2010,270,
96,17,Toyota,2010 Toyota 4Runner,2010,270,
97,17,Toyota,2010 Toyota 4Runner,2010,270,
98,17,Toyota,2010 Toyota 4Runner,2010,270,
99,17,Toyota,2010 Toyota 4Runner,2010,270,
100,21,Audi,2012 Audi A3,2012,200,
101,17,Honda,2010 Honda Accord Coupe,2010,271,
102,21,Honda,2010 Honda Accord Coupe,2010,190,
103,22,Honda,2010 Honda Accord Coupe,2010,190,
104,21,Honda,2010 Honda Accord Coupe,2010,190,
105,19,Honda,2010 Honda Accord Coupe,2010,271,
106,22,Honda,2010 Honda Accord Coupe,2010,190,
107,21,Honda,2010 Honda Accord Coupe,2010,190,
108,22,Honda,2010 Honda Accord Coupe,2010,190,
109,18,Nissan,2011 Nissan 370Z Roadster,2011,332,
110,18,Nissan,2011 Nissan 370Z Roadster,2011,332,
111,18,Nissan,2011 Nissan 370Z Roadster,2011,332,
112,18,Nissan,2011 Nissan 370Z Roadster,2011,332,
113,18,Nissan,2010 Nissan 370Z Roadster,2010,332,
114,18,Nissan,2010 Nissan 370Z Roadster,2010,332,
115,18,Nissan,2010 Nissan 370Z Roadster,2010,332,
116,18,Nissan,2010 Nissan 370Z Roadster,2010,332,
117,21,Audi,2011 Audi A3,2011,200,
118,18,Nissan,2011 Nissan 370Z Coupe,2011,332,
119,18,Nissan,2011 Nissan 370Z Coupe,2011,332,
120,19,Nissan,2011 Nissan 370Z Coupe,2011,332,
121,18,Nissan,2011 Nissan 370Z Coupe,2011,332,
122,21,Audi,2010 Audi A3,2010,200,
123,19,Nissan,2010 Nissan 370Z Coupe,2010,332,
124,18,Nissan,2010 Nissan 370Z Coupe,2010,332,
125,18,Nissan,2010 Nissan 370Z Coupe,2010,332,
126,19,Nissan,2010 Nissan 370Z Coupe,2010,332,
127,21,Audi,2012 Audi A4 Sedan,2012,211,
128,21,Audi,2012 Audi A4 Sedan,2012,211,
129,21,Audi,2011 Audi A4 Sedan,2011,211,
130,21,Audi,2011 Audi A4 Sedan,2011,211,
131,29,Ford,2012 Ford Fiesta Sedan,2012,120,
132,29,Ford,2012 Ford Fiesta Sedan,2012,120,
133,29,Ford,2012 Ford Fiesta Sedan,2012,120,
134,38,Ford,2011 Ford Fiesta Sedan,2011,120,
135,28,Ford,2011 Ford Fiesta Sedan,2011,120,
136,28,Ford,2011 Ford Fiesta Sedan,2011,120,
137,21,Volvo,2011 Volvo C30,2011,227,
138,21,Volvo,2011 Volvo C30,2011,227,
139,21,Volvo,2010 Volvo C30,2010,227,
140,21,Volvo,2010 Volvo C30,2010,227,
141,21,Audi,2010 Audi A4 Sedan,2010,211,
142,22,Audi,2010 Audi A4 Sedan,2010,211,
143,21,Volvo,2010 Volvo S40,2010,168,
144,20,Volvo,2010 Volvo S40,2010,227,
145,21,Audi,2012 Audi A4 Avant,2012,211,
146,21,Audi,2011 Audi A4 Avant,2011,211,
147,23,Audi,2010 Audi A4 Avant,2010,211,
148,23,Honda,2011 Honda Accord Coup,2011,190,
149,22,Honda,2011 Honda Accord Coup,2011,190,
150,17,Honda,2011 Honda Accord Coup,2011,271,
151,23,Honda,2011 Honda Accord Coup,2011,190,
152,19,Honda,2011 Honda Accord Coup,2011,271,
153,22,Honda,2011 Honda Accord Coup,2011,190,
154,22,Honda,2011 Honda Accord Coup,2011,190,
155,29,Ford,2012 Ford Fiesta Hatchback,2012,120,
156,29,Ford,2012 Ford Fiesta Hatchback,2012,120,
157,28,Ford,2011 Ford Fiesta Hatchback,2011,120,
158,28,Ford,2011 Ford Fiesta Hatchback,2011,120,
159,22,Honda,2010 Honda Accord Sedan,2010,177,
160,21,Honda,2010 Honda Accord Sedan,2010,177,
161,22,Honda,2010 Honda Accord Sedan,2010,177,
162,21,Honda,2010 Honda Accord Sedan,2010,177,
163,22,Honda,2010 Honda Accord Sedan,2010,190,
164,21,Honda,2010 Honda Accord Sedan,2010,190,
165,22,Honda,2010 Honda Accord Sedan,2010,190,
166,21,Honda,2010 Honda Accord Sedan,2010,190,
167,19,Honda,2010 Honda Accord Sedan,2010,271,
168,20,Toyota,2011 Toyota Avalon,2011,268,
169,20,Toyota,2011 Toyota Avalon,2011,268,
170,18,Nissan,2009 Nissan 370Z Coupe,2009,332,
171,18,Nissan,2009 Nissan 370Z Coupe,2009,332,
172,18,Nissan,2009 Nissan 370Z Coupe,2009,332,
173,18,Nissan,2009 Nissan 370Z Coupe,2009,332,
174,19,Toyota,2010 Toyota Avalon,2010,268,
175,19,Toyota,2010 Toyota Avalon,2010,268,
176,19,Toyota,2010 Toyota Avalon,2010,268,
177,22,Toyota,2011 Toyota Camry,2011,169,
178,22,Toyota,2011 Toyota Camry,2011,169,
179,22,Toyota,2011 Toyota Camry,2011,169,
180,22,Toyota,2011 Toyota Camry,2011,169,
181,20,Toyota,2011 Toyota Camry,2011,268,
182,22,Toyota,2011 Toyota Camry,2011,179,
183,22,Toyota,2011 Toyota Camry,2011,179,
184,20,Toyota,2011 Toyota Camry,2011,268,
185,22,Toyota,2011 Toyota Camry,2011,169,
186,20,Toyota,2011 Toyota Camry,2011,268,
187,26,Ford,2012 Ford Focus Sedan,2012,160,
188,26,Ford,2012 Ford Focus Sedan,2012,160,
189,25,Ford,2011 Ford Focus Sedan,2011,140,
190,25,Ford,2011 Ford Focus Sedan,2011,140,
191,25,Ford,2011 Ford Focus Sedan,2011,140,
192,25,Ford,2011 Ford Focus Sedan,2011,140,
193,25,Ford,2011 Ford Focus Sedan,2011,140,
194,25,Ford,2011 Ford Focus Sedan,2011,140,
195,25,Ford,2011 Ford Focus Sedan,2011,140,
196,24,Ford,2010 Ford Focus Sedan,2010,140,
197,24,Ford,2010 Ford Focus Sedan,2010,140,
198,24,Ford,2010 Ford Focus Sedan,2010,140,
199,24,Ford,2010 Ford Focus Sedan,2010,140,
200,24,Ford,2010 Ford Focus Sedan,2010,140,
201,24,Ford,2010 Ford Focus Sedan,2010,140,
202,24,Ford,2010 Ford Focus Sedan,2010,140,
203,24,Ford,2010 Ford Focus Sedan,2010,140,
204,23,Nissan,2011 Nissan Altima Coupe,2011,175,
205,18,Nissan,2011 Nissan Altima Coupe,2011,270,
206,18,Volvo,2012 Volvo S80,2012,300,
207,20,Volvo,2012 Volvo S80,2012,240,
208,17,Volvo,2012 Volvo XC60,2012,325,
209,19,Volvo,2012 Volvo XC60,2012,240,
210,17,Volvo,2012 Volvo XC60,2012,300,
211,17,Volvo,2012 Volvo XC70,2012,300,
212,19,Volvo,2012 Volvo XC70,2012,240,
213,16,Volvo,2012 Volvo XC90,2012,240,
214,16,Volvo,2012 Volvo XC90,2012,240,
215,23,Nissan,2010 Nissan Altima Coupe,2010,175,
216,18,Nissan,2010 Nissan Altima Coupe,2010,270,
217,22,Toyota,2010 Toyota Camry,2010,169,
218,22,Toyota,2010 Toyota Camry,2010,169,
219,22,Toyota,2010 Toyota Camry,2010,169,
220,22,Toyota,2010 Toyota Camry,2010,169,
221,19,Toyota,2010 Toyota Camry,2010,268,
222,22,Toyota,2010 Toyota Camry,2010,179,
223,22,Toyota,2010 Toyota Camry,2010,179,
224,19,Toyota,2010 Toyota Camry,2010,268,
225,22,Toyota,2010 Toyota Camry,2010,169,
226,19,Toyota,2010 Toyota Camry,2010,268,
227,15,Volvo,2010 Volvo XC90,2010,235,
228,16,Volvo,2011 Volvo XC90,2011,240,
229,16,Volvo,2010 Volvo XC60,2010,281,
230,17,Volvo,2011 Volvo XC60,2011,300,
231,18,Volvo,2011 Volvo XC60,2011,240,
232,20,Volvo,2010 Volvo V50,2010,227,
233,21,Volvo,2011 Volvo V50,2011,227,
234,8,Bentley,2012 Bentley Continental GT,2012,567,
235,10,Bentley,2010 Bentley Continental GT,2010,552,
236,10,Bentley,2010 Bentley Continental GT,2010,600,
237,24,Ford,2010 Ford Focus Coupe,2010,140,
238,24,Ford,2010 Ford Focus Coupe,2010,140,
239,24,Ford,2010 Ford Focus Coupe,2010,140,
240,24,Ford,2010 Ford Focus Coupe,2010,140,
241,11,Bentley,2011 Bentley Continental GTC,2011,600,
242,10,Bentley,2010 Bentley Continental GTC,2010,600,
243,10,Bentley,2010 Bentley Continental GTC,2010,552,
244,9,Bentley,2010 Bentley Azure T,2010,500,
245,28,Toyota,2011 Toyota Corolla,2011,132,
246,26,Toyota,2011 Toyota Corolla,2011,132,
247,26,Toyota,2011 Toyota Corolla,2011,132,
248,28,Toyota,2011 Toyota Corolla,2011,132,
249,26,Toyota,2011 Toyota Corolla,2011,132,
250,13,Rolls-Royce,2010 Rolls-Royce Ghost,2010,563,
251,21,Audi,2011 Audi A5 Cabriolet,2011,211,
252,20,Audi,2010 Audi A5 Cabriolet,2010,211,
253,11,Rolls-Royce,2010 Rolls-Royce Phantom Sedan,2010,453,
254,11,Rolls-Royce,2010 Rolls-Royce Phantom Sedan,2010,453,
255,21,Audi,2012 Audi A5 Coupe,2012,211,
256,21,Audi,2012 Audi A5 Coupe,2012,211,
257,11,Rolls-Royce,2010 Rolls-Royce Phantom Coupe,2010,453,
258,21,Audi,2011 Audi A5 Coupe,2011,211,
259,21,Audi,2011 Audi A5 Coupe,2011,211,
260,22,Audi,2010 Audi A5 Coupe,2010,211,
261,18,Audi,2010 Audi A5 Coupe,2010,265,
262,21,Audi,2010 Audi A5 Coupe,2010,211,
263,11,Rolls-Royce,2010 Rolls-Royce Phantom Drophead Coupe,2010,453,
264,13,Rolls-Royce,2011 Rolls-Royce Ghost,2011,563,
265,19,Honda,2010 Honda Accord Sedan,2010,271,
266,11,Rolls-Royce,2011 Rolls-Royce Phantom Sedan,2011,453,
267,23,Honda,2011 Honda Accord Sedan,2011,177,
268,23,Honda,2011 Honda Accord Sedan,2011,177,
269,23,Honda,2011 Honda Accord Sedan,2011,177,
270,23,Honda,2011 Honda Accord Sedan,2011,177,
271,23,Honda,2011 Honda Accord Sedan,2011,190,
272,23,Honda,2011 Honda Accord Sedan,2011,190,
273,20,Honda,2011 Honda Accord Sedan,2011,271,
274,23,Honda,2011 Honda Accord Sedan,2011,190,
275,20,Honda,2011 Honda Accord Sedan,2011,271,
276,11,Rolls-Royce,2011 Rolls-Royce Phantom Sedan,2011,453,
277,11,Rolls-Royce,2011 Rolls-Royce Phantom Coupe,2011,453,
278,11,Rolls-Royce,2011 Rolls-Royce Phantom Drophead Coupe,2011,453,
279,23,Volkswagen,2011 Volkswagen Jetta,2011,170,
280,24,Volkswagen,2011 Volkswagen Jetta,2011,170,
281,23,Volkswagen,2011 Volkswagen Jetta,2011,115,
282,23,Volkswagen,2011 Volkswagen Jetta,2011,115,
283,24,Volkswagen,2011 Volkswagen Jetta,2011,170,
284,24,Volkswagen,2011 Volkswagen Jetta,2011,170,
285,24,Volkswagen,2011 Volkswagen Jetta,2011,115,
286,24,Volkswagen,2011 Volkswagen Jetta,2011,170,
287,23,Volkswagen,2011 Volkswagen Jetta,2011,170,
288,23,Volkswagen,2011 Volkswagen Jetta,2011,170,
289,23,Volkswagen,2011 Volkswagen Jetta,2011,170,
290,24,Volkswagen,2011 Volkswagen Jetta,2011,115,
291,26,Toyota,2010 Toyota Corolla,2010,132,
292,26,Toyota,2010 Toyota Corolla,2010,132,
293,26,Toyota,2010 Toyota Corolla,2010,132,
294,26,Toyota,2010 Toyota Corolla,2010,132,
295,26,Toyota,2010 Toyota Corolla,2010,132,
296,26,Toyota,2010 Toyota Corolla,2010,132,
297,22,Toyota,2010 Toyota Corolla,2010,158,
298,22,Toyota,2010 Toyota Corolla,2010,158,
299,17,Toyota,2011 Toyota FJ Cruiser,2011,260,
300,15,Toyota,2011 Toyota FJ Cruiser,2011,260,
301,17,Toyota,2011 Toyota FJ Cruiser,2011,260,
302,19,Audi,2012 Audi A6 Sedan,2012,310,
303,18,Audi,2011 Audi A6 Sedan,2011,300,
304,23,Volkswagen,2010 Volkswagen Jetta,2010,170,
305,23,Volkswagen,2010 Volkswagen Jetta,2010,170,
306,23,Volkswagen,2010 Volkswagen Jetta,2010,170,
307,22,Volkswagen,2010 Volkswagen Jetta,2010,170,
308,22,Volkswagen,2010 Volkswagen Jetta,2010,170,
309,23,Volkswagen,2010 Volkswagen Jetta,2010,170,
310,23,Volkswagen,2010 Volkswagen Jetta,2010,170,
311,22,Volkswagen,2010 Volkswagen Jetta,2010,170,
312,23,Volkswagen,2010 Volkswagen Jetta,2010,170,
313,22,Volkswagen,2010 Volkswagen Jetta,2010,170,
314,22,Volkswagen,2010 Volkswagen Jetta,2010,170,
315,21,Volkswagen,2010 Volkswagen Jetta,2010,200,
316,21,Volkswagen,2010 Volkswagen Jetta,2010,200,
317,30,Volkswagen,2010 Volkswagen Jetta,2010,140,
318,23,Volkswagen,2010 Volkswagen Jetta,2010,170,
319,23,Volkswagen,2010 Volkswagen Jetta,2010,170,
320,30,Volkswagen,2010 Volkswagen Jetta,2010,140,
321,17,Toyota,2010 Toyota FJ Cruiser,2010,260,
322,15,Toyota,2010 Toyota FJ Cruiser,2010,260,
323,17,Toyota,2010 Toyota FJ Cruiser,2010,260,
324,20,Toyota,2011 Toyota Highlander,2011,187,
325,20,Toyota,2011 Toyota Highlander,2011,270,
326,17,Toyota,2011 Toyota Highlander,2011,270,
327,20,Toyota,2011 Toyota Highlander,2011,187,
328,18,Toyota,2011 Toyota Highlander,2011,270,
329,17,Toyota,2011 Toyota Highlander,2011,270,
330,18,Toyota,2011 Toyota Highlander,2011,270,
331,17,Toyota,2011 Toyota Highlander,2011,270,
332,20,Toyota,2010 Toyota Highlander,2010,187,
333,18,Toyota,2010 Toyota Highlander,2010,270,
334,17,Toyota,2010 Toyota Highlander,2010,270,
335,18,Toyota,2010 Toyota Highlander,2010,270,
336,17,Toyota,2010 Toyota Highlander,2010,270,
337,18,Toyota,2010 Toyota Highlander,2010,270,
338,17,Toyota,2010 Toyota Highlander,2010,270,
339,18,Toyota,2010 Toyota Highlander,2010,270,
340,17,Toyota,2010 Toyota Highlander,2010,270,
341,18,Honda,2011 Honda Accord Crosstour Hatchback,2011,271,
342,18,Honda,2011 Honda Accord Crosstour Hatchback,2011,271,
343,18,Honda,2011 Honda Accord Crosstour Hatchback,2011,271,
344,13,Toyota,2011 Toyota Land Cruiser,2011,381,
345,13,Toyota,2010 Toyota Land Cruiser,2010,381,
346,26,Toyota,2011 Toyota Matrix,2011,132,
347,25,Toyota,2011 Toyota Matrix,2011,132,
348,21,Toyota,2011 Toyota Matrix,2011,158,
349,21,Toyota,2011 Toyota Matrix,2011,158,
350,20,Toyota,2011 Toyota Matrix,2011,158,
351,10,Maybach,2010 Maybach 57,2010,631,
352,10,Maybach,2010 Maybach 57,2010,543,
353,10,Maybach,2010 Maybach 57,2010,604,
354,10,Maybach,2010 Maybach 57,2011,631,
355,10,Maybach,2011 Maybach 57,2011,620,
356,10,Maybach,2010 Maybach 62,2010,543,
357,10,Maybach,2010 Maybach 62,2010,604,
358,10,Maybach,2010 Maybach 62,2010,631,
359,10,Maybach,2011 Maybach 62,2011,620,
360,10,Maybach,2011 Maybach 62,2011,543,
361,10,Maybach,2009 Maybach Landaulet,2009,604,
362,10,Maybach,2010 Maybach Landaulet,2010,604,
363,10,Maybach,2011 Maybach Landaulet,2011,620,
364,26,Toyota,2010 Toyota Matrix,2010,132,
365,25,Toyota,2010 Toyota Matrix,2010,132,
366,21,Toyota,2010 Toyota Matrix,2010,158,
367,21,Toyota,2010 Toyota Matrix,2010,158,
368,20,Toyota,2010 Toyota Matrix,2010,158,
369,21,Toyota,2010 Toyota Matrix,2010,158,
370,21,Toyota,2010 Toyota Matrix,2010,158,
371,25,Nissan,2010 Toyota Matrix,2010,132,
372,12,Nissan,2011 Nissan Armada,2011,317,
373,12,Nissan,2011 Nissan Armada,2011,317,
374,12,Nissan,2011 Nissan Armada,2011,317,
375,13,Nissan,2011 Nissan Armada,2011,317,
376,12,Nissan,2011 Nissan Armada,2011,317,
377,12,Nissan,2011 Nissan Armada,2011,317,
378,23,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,170,
379,24,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,170,
380,23,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,170,
381,24,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,170,
382,24,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,170,
383,24,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,170,
384,30,Volkswagen,2011 Volkswagen Jetta SportWagen,2011,140,
385,27,Chevrolet,2011 Chevrolet Aveo,2011,108,
386,27,Chevrolet,2011 Chevrolet Aveo,2011,108,
387,25,Chevrolet,2011 Chevrolet Aveo,2011,108,
388,27,Chevrolet,2011 Chevrolet Aveo,2011,108,
389,25,Chevrolet,2011 Chevrolet Aveo,2011,108,
390,21,Volkswagen,2010 Volkswagen CC,2010,200,
391,21,Volkswagen,2010 Volkswagen CC,2010,200,
392,18,Volkswagen,2010 Volkswagen CC,2010,280,
393,17,Volkswagen,2010 Volkswagen CC,2010,280,
394,16,Audi,2011 Audi A6 Sedan,2011,350,
395,18,Audi,2010 Audi A6 Sedan,2010,300,
396,27,Chevrolet,2011 Chevrolet Aveo5,2011,108,
397,27,Chevrolet,2011 Chevrolet Aveo5,2011,108,
398,25,Chevrolet,2011 Chevrolet Aveo5,2011,108,
399,27,Chevrolet,2011 Chevrolet Aveo5,2011,108,
400,25,Chevrolet,2011 Chevrolet Aveo5,2011,108,
401,16,Audi,2010 Audi A6 Sedan,2010,350,
402,18,Audi,2011 Audi A6 Avant,2011,300,
403,18,Audi,2010 Audi A6 Avant,2010,300,
404,18,Audi,2012 Audi A7,2012,310,
405,17,Audi,2011 Audi A8,2011,372,
406,17,Audi,2011 Audi A8,2011,372,
407,12,Nissan,2010 Nissan Armada,2010,317,
408,12,Nissan,2010 Nissan Armada,2010,317,
409,12,Nissan,2010 Nissan Armada,2010,317,
410,12,Nissan,2010 Nissan Armada,2010,317,
411,12,Nissan,2010 Nissan Armada,2010,317,
412,12,Nissan,2010 Nissan Armada,2010,317,
413,16,Audi,2010 Audi A8,2010,350,
414,16,Audi,2010 Audi A8,2010,350,
415,25,Nissan,2011 Nissan Cube,2011,122,
416,25,Nissan,2011 Nissan Cube,2011,122,
417,25,Nissan,2010 Nissan Cube,2010,122,
418,25,Nissan,2010 Nissan Cube,2010,122,
419,20,Audi,2012 Audi Q5,2012,211,
420,18,Audi,2012 Audi Q5,2012,270,
421,20,Audi,2011 Audi Q5,2011,211,
422,18,Audi,2011 Audi Q5,2011,270,
423,18,Honda,2010 Honda Accord Crosstour Hatchback,2010,271,
424,18,Honda,2010 Honda Accord Crosstour Hatchback,2010,271,
425,17,Honda,2010 Honda Accord Crosstour Hatchback,2010,271,
426,18,Audi,2010 Audi Q5,2010,270,
427,18,Audi,2009 Audi Q5,2009,270,
428,26,Honda,2011 Honda Civic Coup,2011,140,
429,25,Honda,2011 Honda Civic Coup,2011,140,
430,26,Honda,2011 Honda Civic Coup,2011,140,
431,25,Honda,2011 Honda Civic Coup,2011,140,
432,26,Honda,2011 Honda Civic Coup,2011,140,
433,25,Honda,2011 Honda Civic Coup,2011,140,
434,25,Honda,2011 Honda Civic Coup,2011,140,
435,21,Honda,2011 Honda Civic Coup,2011,197,
436,16,Audi,2012 Audi Q7,2012,333,
437,16,Audi,2012 Audi Q7,2012,280,
438,17,Audi,2012 Audi Q7,2012,225,
439,12,Lamborghini,2010 Lamborghini Gallardo Coupe,2010,550,
440,27,Chevrolet,2010 Chevrolet Aveo5,2010,108,
441,27,Chevrolet,2010 Chevrolet Aveo5,2010,108,
442,25,Chevrolet,2010 Chevrolet Aveo5,2010,108,
443,27,Chevrolet,2010 Chevrolet Aveo5,2010,108,
444,25,Chevrolet,2010 Chevrolet Aveo5,2010,108,
445,16,Lexus,2010 Lexus LS,2010,380,
446,16,Lexus,2010 Lexus LS,2010,357,
447,16,Lexus,2010 Lexus LS,2010,380,
448,16,Lexus,2010 Lexus LS,2010,357,
449,12,Lamborghini,2011 Lamborghini Gallardo Coupe,2011,560,
450,12,Lamborghini,2011 Lamborghini Gallardo Coupe,2011,560,
451,30,Hyundai,2012 Hyundai Accent Hatchback,2012,138,
452,30,Hyundai,2012 Hyundai Accent Hatchback,2012,138,
453,30,Hyundai,2012 Hyundai Accent Hatchback,2012,138,
454,30,Hyundai,2012 Hyundai Accent Hatchback,2012,138,
455,16,Lexus,2011 Lexus LS,2011,380,
456,16,Lexus,2011 Lexus LS,2011,357,
457,16,Lexus,2011 Lexus LS,2011,380,
458,16,Lexus,2011 Lexus LS,2011,357,
459,27,Hyundai,2011 Hyundai Accent Hatchback,2011,110,
460,28,Hyundai,2011 Hyundai Accent Hatchback,2011,110,
461,28,Hyundai,2011 Hyundai Accent Hatchback,2011,110,
462,28,Hyundai,2011 Hyundai Accent Hatchback,2011,110,
463,27,Hyundai,2011 Hyundai Accent Hatchback,2011,110,
464,28,Hyundai,2010 Hyundai Accent Hatchback,2010,110,
465,27,Hyundai,2010 Hyundai Accent Hatchback,2010,110,
466,28,Hyundai,2010 Hyundai Accent Hatchback,2010,110,
467,27,Hyundai,2010 Hyundai Accent Hatchback,2010,110,
468,27,Hyundai,2010 Hyundai Accent Hatchback,2010,110,
469,30,Hyundai,2012 Hyundai Accent Sedan,2012,138,
470,30,Hyundai,2012 Hyundai Accent Sedan,2012,138,
471,27,Hyundai,2011 Hyundai Accent Sedan,2011,110,
472,28,Hyundai,2011 Hyundai Accent Sedan,2011,110,
473,28,Hyundai,2010 Hyundai Accent Sedan,2010,110,
474,27,Hyundai,2010 Hyundai Accent Sedan,2010,110,
475,20,Hyundai,2011 Hyundai Azera,2011,260,
476,19,Hyundai,2011 Hyundai Azera,2011,283,
477,17,Hyundai,2010 Hyundai Azera,2010,263,
478,18,Hyundai,2010 Hyundai Azera,2010,234,
479,16,Audi,2011 Audi Q7,2011,333,
480,16,Audi,2011 Audi Q7,2011,272,
481,17,Audi,2011 Audi Q7,2011,225,
482,14,Audi,2010 Audi Q7,2010,280,
483,17,Audi,2010 Audi Q7,2010,225,
484,13,Audi,2010 Audi Q7,2010,350,
485,22,Toyota,2011 Toyota RAV4,2011,179,
486,21,Toyota,2011 Toyota RAV4,2011,179,
487,19,Toyota,2011 Toyota RAV4,2011,269,
488,19,Toyota,2011 Toyota RAV4,2011,269,
489,22,Toyota,2011 Toyota RAV4,2011,179,
490,21,Toyota,2011 Toyota RAV4,2011,179,
491,19,Toyota,2011 Toyota RAV4,2011,269,
